,qid,docno,score,colbert_score,splade_score,colbert_rank,rank
0,1,120514,6.148226261138916,10.8046875,6.148226261138916,3,0
1,1,175162,6.029333114624023,8.59375,6.029333114624023,36,1
2,1,6178,5.775955677032471,8.1171875,5.775955677032471,49,2
3,1,177853,5.539322376251221,9.828125,5.539322376251221,10,3
4,1,176650,5.3786301612854,9.703125,5.3786301612854,12,4
5,1,173789,5.317366600036621,8.8984375,5.317366600036621,28,5
6,1,173443,4.4099321365356445,10.6015625,4.4099321365356445,6,6
7,1,175155,4.328279972076416,9.3359375,4.328279972076416,22,7
8,1,175177,4.246914386749268,10.5625,4.246914386749268,7,8
9,1,175447,4.172954559326172,9.5703125,4.172954559326172,14,9
10,1,115322,4.1560468673706055,9.515625,4.1560468673706055,17,10
11,1,123276,4.094310283660889,9.8671875,4.094310283660889,9,11
12,1,175439,4.057859420776367,8.5703125,4.057859420776367,37,12
13,1,175241,4.024654388427734,9.5625,4.024654388427734,15,13
14,1,54602,3.9667773246765137,8.6015625,3.9667773246765137,34,14
15,1,175305,3.7833244800567627,8.25,3.7833244800567627,48,15
16,1,135786,3.70623779296875,8.9765625,3.70623779296875,26,16
17,1,174052,3.595811128616333,9.71875,3.595811128616333,11,17
18,1,174352,3.518037796020508,7.15625,3.518037796020508,88,18
19,1,175156,3.316964626312256,7.6796875,3.316964626312256,63,19
20,1,174175,3.294567823410034,7.2890625,3.294567823410034,81,20
21,1,173148,3.2089715003967285,8.6796875,3.2089715003967285,33,21
22,1,120787,3.165311336517334,7.43359375,3.165311336517334,73,22
23,1,123470,3.122474431991577,11.0703125,3.122474431991577,2,23
24,1,122436,3.022672176361084,7.34375,3.022672176361084,77,24
25,1,174447,2.9722089767456055,8.28125,2.9722089767456055,47,25
26,1,174444,2.9084367752075195,7.25,2.9084367752075195,83,26
27,1,175585,2.906399726867676,8.4375,2.906399726867676,41,27
28,1,174339,2.8803210258483887,7.859375,2.8803210258483887,55,28
29,1,174381,2.8713908195495605,8.0234375,2.8713908195495605,52,29
30,1,174374,2.8606467247009277,9.328125,2.8606467247009277,23,30
31,1,230693,2.853900671005249,7.421875,2.853900671005249,74,31
32,1,176661,2.8076164722442627,8.4453125,2.8076164722442627,39,32
33,1,175372,2.7428817749023438,7.30859375,2.7428817749023438,80,33
34,1,175836,2.7414052486419678,7.0703125,2.7414052486419678,96,34
35,1,174186,2.737475633621216,7.3828125,2.737475633621216,75,35
36,1,174051,2.7130002975463867,8.3125,2.7130002975463867,45,36
37,1,174414,2.708888530731201,11.296875,2.708888530731201,0,37
38,1,173590,2.656872272491455,8.4296875,2.656872272491455,43,38
39,1,173219,2.6421194076538086,8.78125,2.6421194076538086,30,39
40,1,136192,2.628872871398926,8.59375,2.628872871398926,35,40
41,1,201643,2.608774423599243,9.8984375,2.608774423599243,8,41
42,1,138102,2.5929453372955322,8.5078125,2.5929453372955322,38,42
43,1,201645,2.54352068901062,9.34375,2.54352068901062,21,43
44,1,175432,2.4651808738708496,8.7421875,2.4651808738708496,32,44
45,1,119212,2.4361929893493652,7.03515625,2.4361929893493652,98,45
46,1,173954,2.4352149963378906,8.7578125,2.4352149963378906,31,46
47,1,174055,2.413346767425537,7.953125,2.413346767425537,54,47
48,1,176919,2.348796844482422,9.34375,2.348796844482422,20,48
49,1,174057,2.2844672203063965,8.8125,2.2844672203063965,29,49
50,1,173952,2.2750563621520996,11.1015625,2.2750563621520996,1,50
51,1,176600,2.2241783142089844,7.609375,2.2241783142089844,67,51
52,1,121752,2.108126640319824,7.1328125,2.108126640319824,91,52
53,1,175379,2.0893921852111816,8.3359375,2.0893921852111816,44,53
54,1,176309,2.074326515197754,8.4296875,2.074326515197754,42,54
55,1,174298,2.0376644134521484,7.734375,2.0376644134521484,61,55
56,1,175248,1.9979760646820068,7.09765625,1.9979760646820068,93,56
57,1,192801,1.935601830482483,8.3125,1.935601830482483,46,57
58,1,173974,1.9163110256195068,8.0703125,1.9163110256195068,51,58
59,1,176522,1.9144318103790283,10.7109375,1.9144318103790283,5,59
60,1,177810,1.8808140754699707,10.7578125,1.8808140754699707,4,60
61,1,175375,1.767378568649292,7.2421875,1.767378568649292,85,61
62,1,173793,1.5467984676361084,7.73046875,1.5467984676361084,62,62
63,1,123875,1.543624997138977,7.8203125,1.543624997138977,59,63
64,1,174510,1.479089617729187,8.953125,1.479089617729187,27,64
65,1,173936,1.389301061630249,7.203125,1.389301061630249,87,65
66,1,173986,1.3640474081039429,7.578125,1.3640474081039429,70,66
67,1,175850,1.3583544492721558,9.4140625,1.3583544492721558,19,67
68,1,174493,1.3186824321746826,7.328125,1.3186824321746826,78,68
69,1,174285,1.3132195472717285,8.0,1.3132195472717285,53,69
70,1,173258,1.3060412406921387,7.828125,1.3060412406921387,58,70
71,1,173851,1.2400790452957153,7.20703125,1.2400790452957153,86,71
72,1,174404,1.2069357633590698,9.5625,1.2069357633590698,16,72
73,1,174388,1.1806672811508179,9.0234375,1.1806672811508179,24,73
74,1,176684,1.049878478050232,9.6484375,1.049878478050232,13,74
75,1,174419,1.0128825902938843,7.8359375,1.0128825902938843,57,75
76,1,174244,0.9770925045013428,7.44140625,0.9770925045013428,72,76
77,1,175259,0.9635623693466187,9.46875,0.9635623693466187,18,77
78,1,175977,0.9536397457122803,7.11328125,0.9536397457122803,92,78
79,1,54604,0.9220736026763916,8.078125,0.9220736026763916,50,79
80,1,174405,0.8875820636749268,7.671875,0.8875820636749268,65,80
81,1,177849,0.8359489440917969,7.0859375,0.8359489440917969,95,81
82,1,201878,0.8080644607543945,7.0546875,0.8080644607543945,97,82
83,1,192024,0.7902562618255615,7.140625,0.7902562618255615,89,83
84,1,173143,0.7567462921142578,8.4453125,0.7567462921142578,40,84
85,1,175085,0.5197339057922363,7.08984375,0.5197339057922363,94,85
86,1,173960,0.4627995491027832,9.015625,0.4627995491027832,25,86
87,1,176525,0.41336560249328613,7.3203125,0.41336560249328613,79,87
88,1,175204,0.37298452854156494,7.34765625,0.37298452854156494,76,88
89,1,174512,0.37069612741470337,7.59765625,0.37069612741470337,69,89
90,1,174050,0.36834102869033813,7.5390625,0.36834102869033813,71,90
91,1,54572,0.34940677881240845,7.0234375,0.34940677881240845,99,91
92,1,173259,0.3210006356239319,7.67578125,0.3210006356239319,64,92
93,1,173231,0.319193571805954,7.83984375,0.319193571805954,56,93
94,1,176698,0.22380228340625763,7.24609375,0.22380228340625763,84,94
95,1,177812,0.19030284881591797,7.2734375,0.19030284881591797,82,95
96,1,173234,0.1494600623846054,7.60546875,0.1494600623846054,68,96
97,1,173931,0.1341991126537323,7.78515625,0.1341991126537323,60,97
98,1,176524,0.13056759536266327,7.1328125,0.13056759536266327,90,98
99,1,175240,0.07636530697345734,7.6171875,0.07636530697345734,66,99
100,2,174220,14.235647201538086,11.2109375,14.235647201538086,52,0
101,2,175155,13.709237098693848,18.015625,13.709237098693848,0,1
102,2,6178,13.249992370605469,12.265625,13.249992370605469,19,2
103,2,135789,10.963674545288086,10.5546875,10.963674545288086,89,3
104,2,135767,10.520812034606934,11.921875,10.520812034606934,28,4
105,2,173839,10.171960830688477,15.2265625,10.171960830688477,4,5
106,2,174339,9.914745330810547,13.671875,9.914745330810547,9,6
107,2,135786,9.792325019836426,11.2890625,9.792325019836426,50,7
108,2,174136,9.655997276306152,11.3828125,9.655997276306152,48,8
