qid,docno,score,rank
1,174414,11.296875,0
1,173952,11.1015625,1
1,123470,11.0703125,2
1,120514,10.8046875,3
1,177810,10.7578125,4
1,176522,10.7109375,5
1,173443,10.6015625,6
1,175177,10.5625,7
1,201643,9.8984375,8
1,123276,9.8671875,9
1,177853,9.828125,10
1,174052,9.71875,11
1,176650,9.703125,12
1,176684,9.6484375,13
1,175447,9.5703125,14
1,175241,9.5625,15
1,174404,9.5625,16
1,115322,9.515625,17
1,175259,9.46875,18
1,175850,9.4140625,19
1,176919,9.34375,20
1,201645,9.34375,21
1,175155,9.3359375,22
1,174374,9.328125,23
1,174388,9.0234375,24
1,173960,9.015625,25
1,135786,8.9765625,26
1,174510,8.953125,27
1,173789,8.8984375,28
1,174057,8.8125,29
1,173219,8.78125,30
1,173954,8.7578125,31
1,175432,8.7421875,32
1,173148,8.6796875,33
1,54602,8.6015625,34
1,136192,8.59375,35
1,175162,8.59375,36
1,175439,8.5703125,37
1,138102,8.5078125,38
1,176661,8.4453125,39
1,173143,8.4453125,40
1,175585,8.4375,41
1,176309,8.4296875,42
1,173590,8.4296875,43
1,175379,8.3359375,44
1,174051,8.3125,45
1,192801,8.3125,46
1,174447,8.28125,47
1,175305,8.25,48
1,6178,8.1171875,49
1,54604,8.078125,50
1,173974,8.0703125,51
1,174381,8.0234375,52
1,174285,8.0,53
1,174055,7.953125,54
1,174339,7.859375,55
1,173231,7.83984375,56
1,174419,7.8359375,57
1,173258,7.828125,58
1,123875,7.8203125,59
1,173931,7.78515625,60
1,174298,7.734375,61
1,173793,7.73046875,62
1,175156,7.6796875,63
1,173259,7.67578125,64
1,174405,7.671875,65
1,175240,7.6171875,66
1,176600,7.609375,67
1,173234,7.60546875,68
1,174512,7.59765625,69
1,173986,7.578125,70
1,174050,7.5390625,71
1,174244,7.44140625,72
1,120787,7.43359375,73
1,230693,7.421875,74
1,174186,7.3828125,75
1,175204,7.34765625,76
1,122436,7.34375,77
1,174493,7.328125,78
1,176525,7.3203125,79
1,175372,7.30859375,80
1,174175,7.2890625,81
1,177812,7.2734375,82
1,174444,7.25,83
1,176698,7.24609375,84
1,175375,7.2421875,85
1,173851,7.20703125,86
1,173936,7.203125,87
1,174352,7.15625,88
1,192024,7.140625,89
1,176524,7.1328125,90
1,121752,7.1328125,91
1,175977,7.11328125,92
1,175248,7.09765625,93
1,175085,7.08984375,94
1,177849,7.0859375,95
1,175836,7.0703125,96
1,201878,7.0546875,97
1,119212,7.03515625,98
1,54572,7.0234375,99
2,175155,18.015625,0
2,174414,16.59375,1
2,174357,15.8671875,2
2,122671,15.8203125,3
2,173839,15.2265625,4
2,162838,14.7265625,5
2,135787,14.5546875,6
2,175305,13.8828125,7
2,201643,13.7109375,8
2,174339,13.671875,9
2,201645,13.171875,10
2,175156,13.125,11
2,123470,13.0625,12
2,173960,12.984375,13
2,173230,12.71875,14
2,174051,12.6328125,15
2,8627,12.4296875,16
2,173132,12.3828125,17
2,174354,12.34375,18
2,6178,12.265625,19
2,173407,12.234375,20
2,174941,12.125,21
2,176527,12.125,22
2,173259,12.0703125,23
2,177849,12.0,24
2,174064,11.953125,25
2,136275,11.9453125,26
2,122436,11.9453125,27
2,135767,11.921875,28
2,177815,11.8125,29
2,173213,11.78125,30
2,173950,11.765625,31
2,173576,11.75,32
2,176611,11.734375,33
2,123276,11.71875,34
2,177181,11.7109375,35
2,174122,11.6875,36
2,177225,11.6484375,37
2,175409,11.6328125,38
2,176816,11.609375,39
2,176761,11.578125,40
2,174057,11.5546875,41
2,176924,11.5078125,42
2,136250,11.5,43
2,175429,11.4921875,44
2,54660,11.4765625,45
2,174518,11.4296875,46
2,175162,11.390625,47
2,174136,11.3828125,48
2,174413,11.3828125,49
2,135786,11.2890625,50
2,173583,11.2421875,51
2,174220,11.2109375,52
2,176580,11.1875,53
2,175248,11.1640625,54
2,136198,11.1484375,55
2,176926,11.109375,56
2,135888,11.0625,57
2,175713,11.0234375,58
2,55209,11.015625,59
2,177840,10.9921875,60
2,122029,10.9921875,61
2,175795,10.9765625,62
2,175143,10.9609375,63
2,54557,10.9296875,64
2,173778,10.921875,65
2,137905,10.90625,66
2,173974,10.8828125,67
2,115626,10.8828125,68
2,175332,10.8671875,69
2,82352,10.8515625,70
2,123964,10.84375,71
2,82353,10.8359375,72
2,176661,10.8359375,73
2,173817,10.828125,74
2,54601,10.8046875,75
2,55211,10.765625,76
2,175449,10.7578125,77
2,221313,10.7421875,78
2,54604,10.6875,79
2,175241,10.6484375,80
2,177182,10.6328125,81
2,54586,10.6328125,82
2,54588,10.6328125,83
2,174298,10.6015625,84
2,82354,10.59375,85
2,116270,10.5859375,86
2,175819,10.5859375,87
2,177213,10.578125,88
2,135789,10.5546875,89
2,176608,10.5546875,90
2,82355,10.546875,91
2,125769,10.5390625,92
2,152701,10.5234375,93
2,173313,10.5234375,94
2,122212,10.5234375,95
2,54584,10.515625,96
2,218993,10.515625,97
2,12447,10.4765625,98
2,173338,10.4765625,99
3,173960,14.21875,0
3,136205,13.421875,1
3,176925,13.2734375,2
3,173839,12.3828125,3
3,136250,12.3359375,4
3,175175,12.28125,5
3,175155,12.2421875,6
3,201643,12.1875,7
3,175248,12.171875,8
